,Ticker,Setor,QuantidadeAtivos
173,MORE11,Títulos e Val. Mob.,0
174,MXRF11,Híbrido,0
175,NAVT11,Títulos e Val. Mob.,0
176,NCHB11,Títulos e Val. Mob.,0
177,NEWL11,Híbrido,2
178,NEWU11,Lajes Corporativas,3
179,NSLU11,Hospital,1
180,NVHO11,Hospital,1
181,NVIF11B,Outros,0
182,ONEF11,Lajes Corporativas,1
183,ONEF11,Lajes Corporativas,1
184,ORPD11,Títulos e Val. Mob.,0
185,OUFF11,Títulos e Val. Mob.,0
186,OUJP11,Títulos e Val. Mob.,0
187,OULG11,Outros,2
188,OURE11,Títulos e Val. Mob.,0
189,PABY11,Híbrido,1
190,PATC11,Lajes Corporativas,6
191,PATL11,Híbrido,4
192,PLCR11,Híbrido,0
193,PLOG11,Logística,1
194,PLRI11,Títulos e Val. Mob.,0
195,PORD11,Títulos e Val. Mob.,0
196,PQAG11,Logística,1
197,PQDP11,Shoppings,1
198,PRSV11,Lajes Corporativas,2
199,PVBI11,Lajes Corporativas,4
200,QAGR11,Outros,12
201,QAMI11,Híbrido,0
202,QIRI11,Títulos e Val. Mob.,0
203,QIRI11,Títulos e Val. Mob.,0
204,QIRI11,Títulos e Val. Mob.,0
205,QIRI11,Títulos e Val. Mob.,0
206,QIRI11,Títulos e Val. Mob.,0
207,QIRI11,Títulos e Val. Mob.,0
208,QIRI11,Títulos e Val. Mob.,0
209,RBCO11,Lajes Corporativas,4
210,RBDS11,Residencial,0
211,RBED11,Outros,5
212,RBFF11,Títulos e Val. Mob.,0
213,RBGS11,Shoppings,1
214,RBHG11,Títulos e Val. Mob.,0
215,RBHY11,Títulos e Val. Mob.,0
216,RBIR11,Residencial,0
217,RBLG11,Logística,1
218,RBRD11,Híbrido,4
219,RBRF11,Títulos e Val. Mob.,0
220,RBRL11,Logística,6
221,RBRP11,Outros,17
222,RBRR11,Títulos e Val. Mob.,0
223,RBRS11,Híbrido,0
224,RBRY11,Títulos e Val. Mob.,0
225,RBVA11,Outros,72
226,RBVO11,Outros,0
227,RCRB11,Lajes Corporativas,10
228,RCRB11,Lajes Corporativas,10
229,RDPD11,Títulos e Val. Mob.,0
230,RECR11,Títulos e Val. Mob.,0
231,RECT11,Híbrido,8
232,RECX11,Outros,0
233,RELG11,Híbrido,3
234,RFOF11,Títulos e Val. Mob.,0
235,RMAI11,Lajes Corporativas,1
236,RNDP11,Títulos e Val. Mob.,0
237,RNGO11,Lajes Corporativas,3
238,RRCI11,Títulos e Val. Mob.,0
239,RVBI11,Títulos e Val. Mob.,0
240,RZAG11,Títulos e Val. Mob.,0
241,RZAK11,Títulos e Val. Mob.,0
242,RZTR11,Híbrido,10
243,SADI11,Títulos e Val. Mob.,0
244,SARE11,Híbrido,3
245,SCPF11,Shoppings,1
246,SDIL11,Logística,5
247,SEQR11,Outros,0
248,SHPH11,Shoppings,1
249,SNCI11,Títulos e Val. Mob.,0
250,SNFF11,Títulos e Val. Mob.,0
251,SPTW11,Lajes Corporativas,1
252,SPVJ11,Outros,0
253,SPVJ11,Outros,0
254,SPVJ11,Outros,0
255,SPVJ11,Outros,0
256,SPVJ11,Outros,0
257,SPVJ11,Outros,0
258,SPVJ11,Outros,0
